experiment,n_features,rmse,mae,r2
1. Lag Only,36,121.30470513126836,40.72229690920163,0.9912415748334995
2. Lag + Time,58,126.58868220613556,42.87690287081584,0.9904619303733367
3. Lag + Time + Location,62,131.56705573999494,43.3111251151729,0.9896969681435651
4. Lag + Time + Location + Weather,88,131.92770924017643,42.557505822795804,0.9896404050865554
5. Lag + Time + Location + Event,75,135.53779770448574,44.179578796006716,0.9890656850249578
6. Lag + Time + Location + Weather + Event,101,140.06094036407794,45.64302710013753,0.988323711787325
7. All Features,114,167.4596907154559,48.03651019275622,0.9833086562924335
8. No Lag (외부요인만),78,1006.2011259894447,482.36803186614753,0.39738445755499296
