model,type,mean_rmse,std_rmse,mean_mae,mean_r2,std_r2
Top3_Average,ensemble,397.41863845489667,64.79775487888331,198.51874785554256,0.9378525217430751,0.019528032582868116
Weighted_Average,ensemble,409.8128649279488,55.80099745753707,208.81808058551445,0.9344028483231073,0.017196726047711074
RandomForest,individual,411.53450510287064,84.35202699503104,166.16214710010507,0.9323912054331203,0.026732090772839
Median,ensemble,422.6479984317748,57.915275296486655,214.59746457806668,0.9302324917469409,0.018213273200404407
XGBoost,individual,431.1312198726565,64.7588869470063,229.5732452392578,0.9271362662315369,0.020743379656496055
LightGBM,individual,440.1419730734862,57.95574685113852,233.4634429602541,0.924346506372097,0.0190742672400978
CatBoost,individual,499.7876397891716,35.216662581683664,282.05914130828825,0.9036169815088998,0.01330028830430618
Simple_Average,ensemble,543.6653282920267,45.75600547878114,287.85429426072676,0.8859052764143603,0.018072278091110228
Ridge,individual,1575.5204952936513,25.355655622930165,839.1113390316563,0.047565206615229914,0.004397256357778325
