fold,train_size,val_size,rmse,mae,r2
1,90280,90280,501.67162065686205,239.138780461887,0.9070873831135307
2,180560,90280,362.0688852027063,177.0392189720673,0.9496848802371551
3,270840,90280,307.60420269437367,148.36819857858583,0.9646161136177145
4,361120,90280,408.9363916881856,180.68584853432057,0.9320997539348369
5,451400,90280,403.80827408773825,221.40449146943834,0.9368904593595543
