fold,train_size,val_size,rmse,mae,r2
1,90280,90280,267.00400973932375,123.29495681395949,0.9736808904790457
2,180560,90280,188.23986225626143,91.3654703468722,0.9863999879290057
3,270840,90280,179.1481169317884,87.42491388533894,0.9879982245390638
4,361120,90280,196.35569335635805,105.10333948475389,0.9843452252420325
5,451400,90280,211.1321538263873,116.31563727455789,0.9827474478692471
