model,rmse,mae,r2,mape
CatBoost,167.88626261378664,66.0359136397889,0.971172442648602,39.41490656666179
LightGBM,222.87512827030162,58.02060358342274,0.9491956692573468,27.75225277058287
GradientBoosting,291.21184932215243,54.941457710786075,0.913264755506208,23.59238273578223
RandomForest,299.11181874442434,52.93013198174736,0.9084950328318508,17.291849382247676
XGBoost,310.6258802804428,57.0758171081543,0.9013146162033081,19.218609914907972
