CultCode,제목,장소,startDate,startTime,EndDate,EndTime,지하철
148335,[서울생활문화센터 신도림] 2024 언제나전람회 3분기 - 오래된 발견의 시작,서울생활문화센터 신도림 다목적홀A,2024-07-24,10:00,2024-07-31,18:00,"""신도림역"""
148264,[성동문화재단] 구상희 개인전 : Comme Position,성수 아뜰리에,2024-07-24,10:00,2024-07-31,19:00,
149170,2024 서울시청 하늘광장 갤러리 공모 선정작 [서울 사람의 서울 기록 Seoulite's Seoul Write],"서울시청 본관 8층, 하늘광장 갤러리",2024-07-24,10:00,2024-09-20,17:00,"""시청역"""
147630,"2024 아시테지 국제여름축제 [엉뚱이나라, 깽뚱이나라]＆[미련이나라(깔깔박사의 꿈)]",종로 아이들극장,2024-07-24,13:00,2024-07-25,16:00,"""한성대입구역"", ""혜화역"""
148321,[노원문화재단] 날씨가 이상해,경춘선숲길 갤러리,2024-07-24,14:00,2024-08-18,20:00,"""화랑대역"""
148109,"[은평문화재단] 2024 누구나 예술로, 동행 [행복한 국악을 만나다]",은평문화예술회관 공연장,2024-07-24,19:30,2024-07-24,,"""불광역"", ""녹번역"", ""역촌역"""
148340,[관악문화재단] 관악아트홀 기획전시 「웰컴투 숲씨네」,관악아트홀 1층 전시실,2024-07-25,10:00,2024-08-30,18:00,"""서울대입구역"", ""신림역"""
148169,[구캔갤러리 전시회] 슬기로운 냥이생활 2 - 고양이 주제 단체전,구캔갤러리 신도림,2024-07-25,10:00,2024-12-31,19:00,"""신도림역"""
147024,[영등포문화재단] 마티네콘서트 [낮을 그리는 클래식] #2. 구스타프 클림트,영등포아트홀,2024-07-25,11:00,2024-07-25,,"""영등포구청역"""
148605,한불조형예술협회 [산책-PROMENADE],갤러리 마리,2024-07-25,11:00,2024-08-16,19:00,"""경복궁역"", ""광화문역"""
148215,[노원문화재단] 노원즐거운콘서트x찾아가는 버스킹_7월,노원구청 로비,2024-07-25,12:00,2024-07-25,,"""노원역"""
147681,"[강남문화재단] 제983회 목요예술무대 「네 번째 파장, 몽니」",강남씨어터,2024-07-25,19:00,2024-07-25,,"""강남역"", ""역삼역"""
147585,[미래한강본부] 2024 한강페스티벌-여름 [Hangang River Festival-Summer],한강 수상 및 9개 한강공원 일대,2024-07-26,,2024-08-11,,
148426,[한성백제박물관] 제31회 송파구박물관나들이,한성백제박물관,2024-07-26,09:00,2024-08-31,18:00,"""한성백제역"", ""몽촌토성역"", ""올림픽공원역"""
148580,2024 신당 프로젝트 전시(SPE) [공예의 움직임-LIVILD (Living+Build)] 네번째 전시 윤경현 l 조예린,신당당창작아케이드 SASS갤러리,2024-07-26,10:00,2024-08-11,18:00,"""신당역"""
148316,"김지선, 이미솔 [Rythme des sentiments aux emotions: 자유진행리듬]",아르떼케이 1F,2024-07-26,10:30,2024-08-18,18:30,"""압구정로데오역"""
148405,[서울시립미술관] 2024 신진미술인 지원 프로그램 - 노예주 개인전 『거친 모래가 뱀의 머리에 닿지 않도록』,합정지구 B1,2024-07-26,11:00,2024-08-18,19:00,
147779,[성북문화재단] 브런치 콘서트 [11시11분],꿈빛극장,2024-07-26,11:11,2024-07-26,,"""길음역"""
147844,[강북문화재단] 강북 그림책 아트플레이-북아트 체험,강북문화예술회관 강북진달래홀 갤러리,2024-07-26,12:00,2024-07-27,16:00,"""수유역"""
148123,2024 한강페스티벌 여름축제 [레인보우브릿지 요트페스티벌],세빛섬 골든블루마리나 선착장,2024-07-26,14:00,2024-08-11,21:00,"""고속터미널역"""
148055,2024 한강페스티벌 여름축제 [세빛섬 카약페스티벌],세빛섬 카약 승선장,2024-07-26,14:00,2024-08-11,19:30,"""고속터미널역"""
148138,"[2024 북한인권 상호대화] 클래식, 인권을 연주하다",KT&G 상상플래닛 1층 커넥트홀(서울 성동구 뚝섬로13길 38 상상플래닛),2024-07-26,19:00,2024-07-26,20:30,"""성수역"""
146864,[세종문화회관] 조영숙X장영규X박민희 [조 도깨비 영숙] 싱크넥스트24,세종S씨어터,2024-07-26,19:30,2024-07-27,15:00,"""광화문역"", ""경복궁역"""
148114,2024년 야간 공연 관람권 [뮤지컬 사의찬미],링크아트센터 페이코홀,2024-07-26,20:00,2024-07-26,,"""혜화역"""
147263,[세종문화회관] 꿈의숲 어린이 그림자 극장 「사계」,꿈의숲 퍼포먼스홀,2024-07-27,,2024-07-27,,
147277,뮤지컬 헬로카봇 시즌8 [미래연구소를 지켜라!],백암아트홀,2024-07-27,,2024-08-18,,"""삼성역"""
147303,[강동문화재단] 7월 퐁당퐁당 키즈 클래식 [떴다 세계 여행],대극장 한강,2024-07-27,11:00,2024-07-27,14:00,"""고덕역"""
147276,"[광진문화재단] 2024 아시테지 국제여름축제 in 광진: [베이비 클럽]We Touch, We Play, We Dance",광진어린이공연장,2024-07-27,11:00,2024-07-28,15:00,"""중곡역"""
148168,[서울문화재단] 한 여름 극장속으로 [예술힐링놀이터],서울문화예술교육센터 양천,2024-07-27,13:00,2024-07-27,18:00,"""까치산역"""
148225,[송파문화재단] 엘룹아저씨와 예삐의 꿈,석촌호수 아뜰리에,2024-07-27,14:00,2024-07-27,17:00,"""석촌고분역"""
147996,[동작문화재단] 2024 상도어울마당 아트홀 [PLAY 180] 7월 공연,상도어울마당 아트홀(동작구 성대로 180 지하 1층),2024-07-27,14:00,2024-07-27,,"""장승배기역"""
